"YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit ","Sample_Size","Total","Age(months)","Sex","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.6","16.6",,,"16.1","17.1","20,464",,"36 - 47",,,"    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.5","16.5",,,"15.9","17.0","15,404",,"48 - 59",,,"    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","20.1","20.1",,,"17.7","22.4","1,101",,,,"American Indian/Alaska Native","    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","12.4","12.4",,,"9.9","14.9","660",,,,"Asian/Pacific Islander","    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.3","16.3",,,"15.9","16.7","30,176",,,"Female",,"    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Sex","Female","SEX","FEMALE"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.0","17.0",,,"16.7","17.4","43,672",,,,"Hispanic","    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.4","16.4",,,"15.9","16.8","29,178",,,"Male",,"    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Sex","Male","SEX","MALE"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","12.9","12.9",,,"11.7","14.1","3,158",,,,"Non-Hispanic Black","    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.4","14.4",,,"13.7","15.0","10,763",,,,"Non-Hispanic White","    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
"2008","2008","AZ","Arizona","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","16.3","16.3",,,"16.0","16.6","59,354","Total",,,,"    (34.865970280000454, -111.76381127699972)","OWS","OWS1","Q040","VALUE","04","Total","Total","OVR","OVERALL"
